bounding_rect.y_diff,bounding_rect.width_diff,bounding_rect.height_diff,rotated_rect.rotated_angle_left,rotated_rect.rotated_angle_right,rotated_rect.rotated_angle_diff,contour_feature.ratio_small,contour_feature.ratio_large,label
0.035,0.01,0.015,0.0,0.0,0.0,3.105862068965517,0.07586206896551673,0
0.035,0.005,0.015,0.10513690312703451,0.0,0.10513690312703451,3.174827586206897,0.14482758620689662,0
0.04,0.005,0.03,0.0,0.0,0.0,2.58,0.4500000000000002,0
0.005,0.01,0.07,0.10513695610894097,0.0,0.10513695610894097,1.0442857142857145,1.9857142857142858,0
0.035,0.015,0.025,0.0,0.0,0.0,2.700967741935484,0.3290322580645162,0
0.045,0.01,0.01,0.0,0.0,0.0,3.5223076923076926,0.49230769230769234,0
0.075,0.025,0.125,0.0,0.0,0.0,1.2300000000000004,1.7999999999999998,0
0.08,0.005,0.015,0.0,0.07916683620876735,0.07916683620876735,0.2782758620689654,2.751724137931035,0
0.575,0.02,0.165,0.07916683620876735,0.20483275519476996,0.2839995914035373,1.0915686274509802,4.12156862745098,2
0.07,0.025,0.115,0.0,0.0,0.0,1.1689830508474577,1.8610169491525426,0
0.04,0.015,0.025,0.0,0.0,0.0,2.700967741935484,0.3290322580645162,0
0.04,0.005,0.02,0.0,0.0,0.0,3.4014285714285712,0.371428571428571,0
0.035,0.015,0.02,0.0,0.0,0.0,2.8966666666666665,0.13333333333333375,0
0.04,0.015,0.025,0.0,0.0,0.0,2.700967741935484,0.3290322580645162,0
0.0,0.02,0.09,0.09033447901407878,0.1051369137234158,0.014802434709337023,1.1761538461538459,1.8538461538461544,0
0.03,0.025,0.115,0.0,0.0,0.0,0.8934920634920633,2.136507936507937,0
0.04,0.015,0.015,0.0,0.0,0.0,3.105862068965517,0.07586206896551673,0
0.04,0.01,0.02,0.0,0.0,0.0,2.963333333333334,0.06666666666666643,0
0.05,0.0,0.025,0.0,0.0,0.0,0.7702985074626865,2.259701492537314,1
0.16,0.01,0.02,0.07044652303059896,0.11449830796983507,0.04405178493923611,0.2455844155844158,2.7844155844155845,2
0.0,0.015,0.055,0.09033448961046008,0.0,0.09033448961046008,0.8977966101694914,2.132203389830509,0
0.16,0.005,0.015,0.06345104641384548,0.12566587660047743,0.062214830186631945,0.24176470588235288,2.7882352941176474,1
0.955,0.045,0.225,0.06345104641384548,0.07044657601250542,0.13389762242635092,3.226396396396397,0.1963963963963966,2
0.04,0.01,0.03,0.0,0.0,0.0,2.8966666666666665,0.13333333333333375,0
0.035,0.01,0.015,0.0,0.0,0.0,3.105862068965517,0.07586206896551673,0
0.03,0.015,0.01,0.0,0.0,0.0,3.33,0.2999999999999998,0
0.04,0.015,0.015,0.0,0.0,0.0,3.105862068965517,0.07586206896551673,0
0.035,0.01,0.01,0.0,0.0,0.0,3.33,0.2999999999999998,0
0.04,0.01,0.015,0.0,0.0,0.0,3.105862068965517,0.07586206896551673,0
0.045,0.01,0.025,0.0,0.0,0.0,2.959032258064516,0.07096774193548416,0
0.04,0.005,0.025,0.0,0.0,0.0,2.700967741935484,0.3290322580645162,0
0.04,0.01,0.025,0.0,0.0,0.0,3.105862068965517,0.07586206896551673,0
0.03,0.015,0.015,0.0,0.0,0.0,2.700967741935484,0.3290322580645162,0
0.02,0.005,0.025,0.0,0.0,0.0,0.5442857142857145,2.4857142857142858,0
0.035,0.0,0.03,0.0,0.0,0.0,0.8585714285714285,2.1714285714285717,0
0.005,0.015,0.06,0.09033448961046008,0.0,0.09033448961046008,0.9334482758620695,2.096551724137931,0
0.04,0.015,0.025,0.0,0.0,0.0,2.700967741935484,0.3290322580645162,0
0.04,0.005,0.025,0.0,0.0,0.0,3.5707407407407405,0.5407407407407403,0
0.01,0.005,0.03,0.05771586100260417,0.0,0.05771586100260417,0.4663636363636363,2.563636363636364,0
0.04,0.015,0.025,0.0,0.0,0.0,3.105862068965517,0.07586206896551673,0
0.05,0.01,0.01,0.0,0.09033448961046008,0.09033448961046008,2.963333333333334,0.06666666666666643,0
0.035,0.01,0.015,0.0,0.0,0.0,3.105862068965517,0.07586206896551673,0
0.04,0.01,0.025,0.0,0.0,0.0,3.105862068965517,0.07586206896551673,0
0.045,0.0,0.0,0.09033448961046008,0.0,0.09033448961046008,2.83,0.20000000000000018,0
0.04,0.01,0.02,0.0,0.0,0.0,3.33,0.2999999999999998,0
0.035,0.01,0.02,0.0,0.0,0.0,3.33,0.2999999999999998,0
0.125,0.015,0.01,0.09033448961046008,0.050821346706814235,0.03951314290364583,0.09984126984126984,2.9301587301587304,2
0.035,0.005,0.02,0.0,0.0,0.0,2.8966666666666665,0.13333333333333375,0
0.035,0.005,0.015,0.0,0.0,0.0,3.105862068965517,0.07586206896551673,0
0.035,0.01,0.02,0.0,0.0,0.0,2.8966666666666665,0.13333333333333375,0
0.015,0.01,0.025,0.0,0.0,0.0,0.5838461538461539,2.4461538461538463,0
0.125,0.01,0.005,0.09717958238389757,0.09033448961046008,0.0068450927734375,0.11275862068965514,2.917241379310345,1
0.86,0.03,0.22,0.09717958238389757,0.04237861103481717,0.13955819341871473,3.163333333333333,0.13333333333333286,2
0.055,0.0,0.0,0.0,0.07044652303059896,0.07044652303059896,0.31780487804878055,2.7121951219512197,0
0.48,0.02,0.16,0.0,0.0,0.0,4.2700000000000005,1.2400000000000002,2
0.03,0.015,0.015,0.0,0.0,0.0,3.105862068965517,0.07586206896551673,0
0.04,0.01,0.02,0.0,0.0,0.0,2.963333333333334,0.06666666666666643,0
0.075,0.035,0.125,0.0,0.0,0.0,1.2300000000000004,1.7999999999999998,0
0.075,0.025,0.12,0.0,0.0,0.0,1.311481481481482,1.7185185185185183,0
0.045,0.005,0.01,0.0,0.0,0.0,1.83,1.2000000000000002,0
0.035,0.005,0.015,0.0,0.0,0.0,3.105862068965517,0.07586206896551673,0
0.09,0.005,0.005,0.0,0.10513695610894097,0.10513695610894097,0.2652941176470587,2.7647058823529416,1
0.465,0.025,0.165,0.0,0.0,0.0,4.339433962264151,1.3094339622641504,2
0.03,0.005,0.045,0.0,0.0,0.0,0.6966666666666668,2.3333333333333335,0
0.025,0.0,0.025,0.0,0.0,0.0,0.858985507246377,2.1710144927536232,0
